"","ZIP","MedianIncome","PopulationPerHousingUnit","PopulationPerSqKm"
"1","43964",42826,2.07990373044525,68.948335984965
"2","28216",48647,2.35687938030247,646.395290163614
"3","28277",105885,2.57294286740927,1166.15322153129
"4","28278",90282,2.80720164609053,325.981105130724
"5","28303",39896,1.89462157809984,668.709236600946
"6","28314",47873,2.1302881442921,955.32930791182
"7","28330",28472,1.64444444444444,781.98152869216
"8","28347",28125,3.68512658227848,17.4309143540701
"9","28351",36949,2.25215723873442,31.8081665103657
"10","28357",32060,2.14217252396166,29.2201673067085
"11","28369",29848,2.39548494983278,14.8995277182084
"12","28371",50523,2.61225225225225,79.8894003459944
"13","28392",31667,2.51622874806801,15.7460748174033
"14","28428",71250,1.06020772476469,346.858746030361
"15","28433",27900,2.16123843988741,18.4905711851981
"16","28435",36298,1.69522240527183,8.09748488259329
"17","28450",51680,1.74111334674715,18.8590354189158
"18","28461",64418,1.64193761346757,84.1258729085813
"19","28462",41243,1.02526929618531,51.1669516517127
"20","28537",24125,1.02816901408451,1.85528871904194
"21","28547",47662,11.5861440291705,265.890018145785
"22","28552",NA,0.869047619047619,2.52184478386485
"23","28557",54528,1.79567733553797,282.73655470193
"24","28560",46133,1.98232504670211,87.6661530368752
"25","28562",57592,2.1535457233722,94.3629831573277
"26","28570",51569,2.02456864216054,63.9768640504355
"27","28574",49267,2.53299776286353,54.6031575280196
"28","28579",46964,1.73125,43.8925542638226
"29","28373",43836,2.23539518900344,77.4686398424807
"30","28364",33462,2.53853870590202,43.1684141335967
"31","28366",33295,2.04258443465492,25.26999670214
"32","28377",28176,2.56759976176295,49.2973064295348
"33","28383",33952,2.66205652435358,32.7063164171363
"34","28386",31092,2.72467060427079,51.2235293241383
"35","28398",32813,2.33956010846641,30.592471565695
"36","28425",40211,2.48006821573225,29.8827940293067
"37","28429",49346,2.32396541074738,70.2319882413019
"38","28464",20625,2.29018612521151,45.5247527097941
"39","28073",39971,2.15502008032129,80.762874135356
"40","28098",51206,2.39064558629776,402.695748321237
"41","28119",31464,1.71778711484594,14.2805890656145
"42","28144",43136,2.19662970400768,319.844494377632
"43","28150",38328,2.09089530740657,98.3238298328057
"44","28168",47888,2.24916126146276,44.6507848431476
"45","28173",116043,3.12486272787173,201.622139032818
"46","28205",49378,2.22850190533033,1581.7041999965
"47","28214",60837,2.79092995006074,462.384828094957
"48","28307",40559,3.28481945467944,587.367186368385
"49","28315",51725,2.3946862436637,82.3311693788753
"50","28318",47566,2.27301092043682,21.1775196343084
"51","28320",36199,2.10594479830149,31.8621280838765
"52","28333",30172,2.36746472851646,89.7351319106613
"53","28730",62995,2.20663326175137,71.8634382548103
"54","28544",39696,2.488657493492,226.823399018924
"55","28470",39636,1.72478242259951,94.8449786315759
