ZIP,MedianIncome,PopulationPerHousingUnit,PopulationPerSqKm
00501,94898,2.5359877488514546,1165.8587526953434
01001,70442.5,2.3210594315245476,455.8480303705679
01002,60498.666666666664,3.285420812736727,105.28908924105438
01003,40604.25,3.7427519011406845,345.6365338951451
01004,50326,2.3070017953321362,953.9055284276426
01005,75138,2.380952380952381,25.17278138753538
01007,98453,2.4939463601532568,76.77323953256438
01008,75855.5,1.5913421360521478,12.655276514201052
01009,61136,1.9603960396039604,129.54666459313702
01010,72559.5,2.168831168831169,68.66384376538714
01011,70874.5,1.9193126634292117,13.22155569442684
01012,74010,2.137223974763407,16.740927642166817
01013,44535,2.2850806882547827,1472.3550144690962
01014,27285,1.9822660098522167,1736.747221212757
01020,53252.1,2.2493744393560267,850.7675047051526
01021,41481,2.0529661016949152,1517.2598911139016
01022,58682.333333333336,2.2026501766784454,398.22484734223366
01026,71111,1.8594077176189052,12.42852745974411
01027,75223.28571428571,2.2986526946107784,135.31942583175226
01028,78205.5,2.473202506596306,333.83627522009175
01029,74597,0.9933554817275747,10.143509786934262
01030,72844.25,2.3119561330313507,389.30646568279616
01031,68096,2.3380205516495405,27.014631832481022
01032,79777.5,1.9126962269347287,22.068234576668047
01033,78174.66666666667,2.3173146934614826,135.2916166888919
01034,77114,1.994125874125874,13.802019947661481
01035,64276,2.158536585365854,83.28616837887002
01036,85943,2.4613560929350404,101.8795796411999
01037,68096,2.3380205516495405,27.014631832481022
01038,64619,1.9285295840656123,75.55517432176632
01039,68834,2.006063668519454,48.095376120912036
01040,41038.833333333336,2.32994629883121,662.2328043787869
01041,32027,2.353875968992248,1145.8782037418637
01050,67210,1.9062451572911825,14.530059130695054
01053,73125,2.457025920873124,114.14830807218245
01054,69395.66666666667,2.155424777425683,31.83679021139771
01056,73055.4,2.5273051879857173,286.86965469291744
01057,80023.5,2.2412400677347923,60.86852962949468
01059,45316,2.263157894736842,365.03480744488377
01060,63585.28571428572,2.3774878582992094,409.37274610946474
01061,68092,1.880629020729092,2138.6012232175713
01062,63320.333333333336,2.267924165142912,259.5472492816558
01063,64730.5,2.45211122554068,1890.2606206175628
01066,64619,1.9285295840656123,75.55517432176632
01068,76235.5,2.407421875,28.667772754258877
01069,71816.42857142857,2.355237088891824,110.76077636083615
01070,65396,1.7623166603986462,11.234429541153984
01071,77114,1.994125874125874,13.802019947661481
01072,82286,2.1682411156095367,17.114492840177114
01073,78685,2.5488790885703785,131.58472525379736
01074,68139,2.4379401408450705,47.91939276981393
01075,85030.8,2.5460693153000844,200.0267075598072
01077,76726.33333333333,2.3629260182876144,129.8733332217071
01079,61136,1.9603960396039604,129.54666459313702
01080,55938,2.5100904662491303,269.8220374399451
01081,77617.5,2.0697731755424065,50.36692097290523
01082,59720,2.1391623036649214,64.91257924308418
01083,69851,2.2341337907375642,72.78261810510655
01084,74010,2.137223974763407,16.740927642166817
01085,79931.55555555556,2.4862492984335938,76.25115105036323
01088,64619,1.9285295840656123,75.55517432176632
01089,57011,2.30008826125331,631.302140498126
01090,44719,2.1518137035378415,1040.5657134708724
01092,69851,2.2341337907375642,72.78261810510655
01093,62016,2.1567132570944514,55.51586903658091
01094,68096,2.3380205516495405,27.014631832481022
01095,90808,2.6404233724807886,255.7322850991257
01096,77855,1.9460726846424385,20.978397178966127
01097,77114,1.994125874125874,13.802019947661481
01098,69322.5,1.8657273104019891,13.177752216640032
01101,14018,1.4825119236883944,1511.0205810191328
01103,25019,1.932367149758454,2377.621827668124
01104,31671.083333333332,2.4704371425802076,1763.8751744962467
01105,25301.444444444445,2.221131435835864,2338.472798045085
01106,99385.25,2.540002315618849,729.4905569678662
01107,29135.714285714286,2.5292984869326,2491.7061808757635
01108,42353.75,2.4938023233175417,2150.3018272030795
01109,37320.88888888889,2.75691431670282,1855.0603336699694
01111,53723,2.5007012622720897,1726.7804827030252
01115,14018,1.4825119236883944,1511.0205810191328
01116,125104,2.7358991373589916,825.0995420380214
01118,60059.5,2.565392861647118,1322.2991639961283
01119,45280.8,2.534849006774601,1358.2864645633865
01128,61185.5,2.660059171597633,939.2486335260361
01129,53721.666666666664,2.53516409912927,1072.3060942114432
01138,30577,2.480963480963481,5385.367475627648
01139,21467,2.5908170155300474,1170.594008706377
01144,14018,1.4825119236883944,1511.0205810191328
01151,39963,2.3555012224938876,926.1978287395957
01152,37500,2.3986013986013988,235.6513195362264
01199,25366,2.280350194552529,2599.1358981606995
01201,57504.5,1.9796467800990738,131.30886781070453
01202,21329,1.3169724770642202,2297.111140551686
01220,50431,1.839711841512832,137.43329470434625
01222,76250,1.7729306487695748,25.192424139251568
01223,73345.75,1.4965779467680609,13.337416736300444
01224,76818,2.027027027027027,39.17398162750911
01225,70898.5,1.9871216999356085,41.744961512384634
01226,69083.33333333333,1.9992378048780488,94.19018778183558
01227,59122,2.0606531881804044,116.94773092866828
01229,48493,1.163895486935867,31.95543411418702
01230,70692.2,1.6133540372670807,23.285225799915995
01235,68381,1.7371280724450193,14.123096852680959
01236,60365.666666666664,1.6645,43.772422578453366
01237,79711,1.6891223733003708,21.5739900475257
01238,69139.5,1.4226584493646808,24.364993915194272
01240,64091,1.7045637583892617,67.75866152778605
01242,72411,1.6618825100133512,88.71589799514288
01243,64635,1.7689713322091063,12.071482914081155
01244,76731,1.2700871248789933,10.569554455919398
01245,73356,0.9917287014061208,10.114183325071396
01247,47808.28571428572,1.9216517651396443,31.65782821549211
01253,74597,0.9933554817275747,10.143509786934262
01254,76999,1.52524893314367,30.507188115188473
