"hazard","LM"
0.000164947493709132,1
8.78000579494679e-05,2
0.000101069598358451,3
6.65736840167218e-05,4
7.48166059781655e-05,5
8.01678927696184e-05,6
6.54244254063531e-05,7
6.28091594000749e-05,8
5.26747517887216e-05,9
4.03987393622016e-05,10
5.4319234333573e-05,11
3.50635241922441e-05,12
0.000101246601806075,13
8.75233161086376e-05,14
8.77980295691268e-05,15
5.73376307222063e-05,16
7.39251440577807e-05,17
8.2995866678448e-05,18
8.08547213559769e-05,19
4.85537586619942e-05,20
2.82423145043284e-05,21
0.000111661014629964,22
0.000113852832309863,23
0.000138621385232778,24
0.000301173883720457,25
0.000190962552876574,26
0.000120649647109411,27
0.00029510004384797,28
0.000557450794433157,29
0.000109791828514548,30
0.000204180827442136,31
0.000678119059311107,32
0.000551405110066506,33
0.000733152384972846,34
0.0016364493779346,35
0.000481120655319463,36
0.000635772543180712,37
0.000866060793221524,38
0.00128212629690908,39
0.00579129424266605,40
0.0131068140144212,41
0.00388063733791905,42
0,43
0.0155042461934245,44
0,45
0,46
0,47
0,48
0,49
